"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9057","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9058","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9059","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9060","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9061","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9062","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9065","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9066","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9067","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9068","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9069","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9070","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9071","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9072","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9073","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9074","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9075","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9078","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9079","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9080","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9081","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9084","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9085","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9087","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9088","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9093","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9095","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9098","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9101","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9104","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9105","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9107","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9109","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9112","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9113","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9114","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9115","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9116","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9117","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9118","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9119","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9120","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9121","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9122","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9123","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9124","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9126","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9129","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9130","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9131","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9132","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9135","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9137","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9138","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9139","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9140","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9144","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9147","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9148","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9151","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9152","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9154","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9155","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9158","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9161","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9162","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9163","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9166","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9177","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9178","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9181","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
